Title,Mileage,Year,Engine,Trans,Location,Ref_No,Model_Code,Steering,Fuel,Seats,Engine_Code,Color,Drive,Doors,Final_Price
2023 HONDA FIT CROSSTAR HONDA SENSING,2573,2023,1490.0,AT,Yokohama,Ref No. BT867148,5BA-GS5,Right,Petrol,5,L15Z,Pearl,,5,12553.0
2019 TOYOTA RAV4 ADVENTURE,80107,2019,1980.0,AT,Yokohama,Ref No. BT867149,6BA-MXAA54,Right,Petrol,5,M20A,Blue,4WD,5,18731.0
1996 MITSUBISHI MINICAB TRUCK,90266,1996,650.0,MT,Osaka,Ref No. BT883883,V-U42T,Right,Petrol,2,3G83,White,4WD,2,2743.0
1996 MITSUBISHI MINICAB VAN,120328,1996,650.0,MT,Nagoya,Ref No. BT915709,U41V,Right,Petrol,ASK,-,Silver,,5,2771.0
1996 SUBARU SAMBAR TRUCK,63494,1996,650.0,MT,Osaka,Ref No. BT915553,V-KS3,Right,Petrol,2,-,White,2WD,2,2543.0
1992 SUZUKI CARRY TRUCK,82350,1992,650.0,MT,Osaka,Ref No. BT915550,V-DC51T,Right,Petrol,2,-,White,,2,2854.0
1992 HONDA ACTY TRUCK,99692,1992,650.0,MT,Yokohama,Ref No. BT915679,V-HA4,Right,Petrol,2,-,White,4WD,2,3119.0
2009 TOYOTA PASSO G,83996,2009,1290.0,AT,Osaka,Ref No. BT892962,DBA-QNC10,Right,Petrol,5,K3,Silver,2WD,5,3138.0
1994 MAZDA SCRUM TRUCK,47589,1994,650.0,MT,Osaka,Ref No. BT892963,V-DJ51T,Right,Petrol,2,-,White,,2,2955.0
2017 HONDA FIT 13G L PACKAGE,176227,2017,1310.0,AT,Yokohama,Ref No. BT809053,DBA-GK4,Right,Petrol,5,L13B,Pearl,4WD,5,5151.0
2007 ISUZU ELF TRUCK,202186,2007,4770.0,MT,Osaka,Ref No. BT883863,PB-NKR81AN,Right,Diesel,3,4HL1,White,2WD,2,8277.0
2014 MAZDA TITAN,242042,2014,2990.0,MT,Yokohama,Ref No. BT893367,TKG-LHR85A,Right,Diesel,3,4JJ1,White,2WD,2,7905.0
2014 TOYOTA PROBOX VAN DX COMFORT PACKAGE,101769,2014,1490.0,AT,Yokohama,Ref No. BT854394,DBE-NCP55V,Right,Petrol,2,1NZ,Silver,4WD,5,4556.0
2008 TOYOTA VANGUARD 240S,143620,2008,2360.0,AT,Nagoya,Ref No. BT772011,DBA-ACA33W,Right,Petrol,7,2AZ,Black,4WD,5,6786.0
2013 HYUNDAI AVANTE (ELANTRA),69939,2013,1591.0,AT,Korea,Ref No. BT933643,0,Left,Petrol,5,-,Gray,2WD,4,6501.0
